Abbreviation;Nghĩa (Tiếng Việt);Full Form (Tiếng Nga);
ПРД;hệ thống phát;передающая система;
ПРД;hệ thống thu;приемная система;
ПРЕОБР;bộ biến đổi;преобразователь;
ПРП;Thiết bị định vị vô tuyến thụ động;Пассивный Радиопеленгатор;
ПРР;Tên lửa chống ra đa;– противорадиолокационная ракета;
ПРС;Tên lửa chống ra đa;– противорадиолокационный снаряд;
ПСП ;Bo mạch chọn lọc nhiễu;Плата Селекции Помех;
ПУ ;Bệ phóng;Пусковая установка;
ПУ ;Bộ điều khiển;– пульт управления;
ПУСП;bộ tiền khuếch đại ;предварительный усилитель сигналов передачика;
ПХЗ;Thiết bị bảo vệ khỏi vũ khí hóa học;– противохимическая защита;
ПЧ;trung tần;Промежуточная частота;
РАЗРЕШ. МЕСТН;cho phép tại chỗ;"разрешение местное;";
РИ;công suất máy phát;мощность передатчика с выхода изделия;
РК;Chế độ kiểm tra bảo dưỡng;Регламентный режим;
РК;Chế độ kiểm tra bảo dưỡng;режим контроля;
РЛИ;thông tin ra đa vô tuyến;радиолокационная информация;
рлр ;Đại đội ra đa;– радиолокационная рота;
РЛС;Trạm ra đa;радиолокационная станция;
РМО;Vị trí làm việc của trắc thủ;– рабочее место оператора;
РО1…РО4;Các chế độ quan sát ;– режимы обзора;
РПН;đài điều khiển và chiếu xạ;– радиолокатор подсвета и наведения;
РПрУ;thiết bị thu vô tuyến;Радиоприемное устройство;
РПУ ;Máy biến tần;– распределительно-преобразовательное устройство;
РРЛ;Liên lạc chuyển tiếp vô tuyến;– радиорелейная линия;
РРС;Trạm chuyển tiếp vô tuyến;– радиорелейная станция;
Рс;độ nhạy máy thu;чувствительность по срабатыванию приёмника со входа изделия;
ртб ;Tiểu đoàn ra đa kỹ thuật;– радиотехнический батальон;
РТВ ;Binh chủng ra đa kỹ thuật;– радиотехнические войска;
РТС;Thiết bị ra đa kỹ thuật;– радиотехнические средства;
РТЭ;Hướng dẫn sử dụng kỹ thuật;Руководство по технической эксплуатации;
РЭ;Hướng dẫn sử dụng;– руководство по эксплуатации;
РЭА;Thiết bị vô tuyến điện tử;Радиоэлектронная аппарата;
РЭС;thiết bị vô tuyến điện tử;– радиоэлектронные средства;
С;máy bay;самолёт;
САЭС;hệ thống nguồn điện tại chỗ;средства автономного электроснабжения;
СБ;tín hiệu báo nạn;сигнал бедствия;
СВЧ;Siêu cao tần;– сверхвысокие частоты;
СВЭП;Nguồn điện ngoài;– средства внешнего электроснабжения;
СД ;Thiết bị đo TỐC ĐỘ-CỰ LY;Измеритель СКОРОСТЬ-ДАЛЬНОСТЬ;
СИ;xung đồng bộ;Синхроимпульс;
С-К;công tắc máy bay tàu thuyền;переключатель «Самолёт- Корабль»;
СКО;kỳ vọng toán học;среднеквадратическая ошибка;
СМЕЩ;trộn;смещение;
СО;bảo dưỡng mùa;Сезонное обслуживание;
СОО;chuỗi tín hiệu nhận dạng chung;серия сигналов общего опознавания;
СОТР;Hệ thống đảm bảo nhiệt độ;Система обеспечения теплового режима;
СРС;Hệ thống liên lạc bằng giọng nói;– система речевой связи;
ССГККУ;Hệ thống tự định hướng con quay hồi chuyển;Система самоориентирующаяся гороскопическая курсокреноуказания ;
ССП;Bộ truyền động theo dõi đồng bộ;синхронно-следящий привод;
СТРОБИР;cửa sóng;стробирование;
СУЛТ;Ổn định mức báo động nhầm;Стабилизация уровня ложных тревог;
СЭПР;hệ thống nguồn điện tên lửa;система электропитания ракет;
СЭС;Hệ thống nguồn điện;– средства электроснабжения;
ТА;phương vị hiện tại;текущий азимут;
ТеО;Bảo dưỡng định kỳ;Текущее обслуживание;
ТКС;truyền thông mã hóa telecode;– телекодовый канал связи;
ТНА-3;Thiết bị dẫn đường xe tăng TNA-3;Танковая Навигационная Аппаратура-3;
ТО;bảo dưỡng kỹ thuật;– техническое обслуживание;
ТПК;ống phóng và vận chuyển đạn tên lựa;транспортно-пусковой контейнер;
ТР;chế độ luyện tập;режим тренировки;
ТЭЗ;linh kiện tương đương thay thế;– типовой элемент замены;
УВО;Thiết bị làm mát ;Устройство воздушного обслуживания;
УЗС;"Hệ thống điều khiển, bảo vệ và báo hiệu";"Устройство упвавления, защиты и сигнализации";
УКК;Hệ thống kiểm tra và đồng bộ;Устройство контроля и коммутации;
УМ;Khuếch đại công suất;Усилитель мощности;
УПЧ;Khuếch đại công suất trung tần;Усилитель промежуточной мощности;
ФАР;Anten mạng pha;Фазированная антенная решетка;
ФВУ;thiết bị lọc độc;– фильтро-вентиляционная установка;
ФВУ ;Thiết bị lọc thông gió;Фильтровентиляционная Установка;
ФВЧ;bộ lọc tần số cao;Фильтр высоких частот;
ФЗС и УРР;Tạo tín hiệu thăm dò và điều khiển chế độ làm việc;Формирование зондирующего сигнала и управление режима работы;
ФК ;Tương phản quang học;Фотоконтрастный;
ФК ПБР;kiểm tra chức năng trước khi chiến đấu;– функциональный контроль перед боевой работой;
ФНЧ;bộ lọc tần số thấp;Фильтр низких частот;
ЦВК;máy tính xử lý trung tâm;– центральный вычислительный комплекс;
ЦК;kênh mục tiêu;– целевой канал;
ЦУ;chỉ thị mục tiêu;– целеуказание;
ЦУ;Chỉ thị mục tiêu;Целеуказание;
ШАРУ;Điều chỉnh khuếch đại tự động theo nhiễu;шумовая автоматическая регулировка усиления;
ШДС;bộ mã hóa giải mã tín hiệu;шифратор-дешифратор сигналов;
ЭВМ;máy tính điện toán;– электронная вычислительная машина;
ЭГП;truyền động điện thủy lực;электрогидропривод;
экв;anten tương đương;эквивалентная антенна;
ЭМС;tương thích điện từ;– электромагнитная совместимость;
ЭОП;diện tích phản xạ hiệu dụng;– эффективная отражающая поверхность;
ЭСУ;bộ khuếch đại tĩnh điện;электростатический усилитель;
